Name,Short,Category
경향신문,khan,신문
국민일보,kmib,신문
네이버,naver,인터넷
노컷뉴스,nocutnews,신문
농민신문,nongmin,신문
뉴스토마토,newstomato,인터넷
뉴스타파,newstapa,인터넷
뉴시스,newsis,인터넷
다음,daum,인터넷
동아일보,donga,신문
더팩트,tf,인터넷
데일리안,dailian,인터넷
디지털타임스,dt,신문
마이데일리,mydaily,인터넷
매일경제,mk,신문
머니투데이,mt,인터넷
문화일보,munhwa,신문
미디어오늘,mediatoday,인터넷
민중의소리,vop,인터넷
법률신문,lawtimes,신문
블로터,bloter,인터넷
비지니스포스트,businesspost,인터넷
브릿지경제,viva100,인터넷
서울경제,sedaily,신문
서울신문,seoul,신문
세계일보,segye,신문
아시아경제,asiae,인터넷
아시아투데이,asiatoday,인터넷
아이뉴스24,inews24,인터넷
아주경제,ajunews,인터넷
연합뉴스,einfomax,인터넷
오마이뉴스,omynews,인터넷
위키트리,wikitree,인터넷
이데일리,edaily,인터넷
이투데이,etoday,인터넷
일요신문,ilyo,신문
전남일보,jnilbo,신문
전자신문,etnews,신문
조선일보,chosun,신문
조세일보,joseilbo,인터넷
중앙일보,joins,신문
초이스경제,choicenews,신문
코리아타임즈,koreatimes,인터넷
코리아헤럴드,kherldm,인터넷
쿠키뉴스,kukinews,인터넷
파이낸셜뉴스,fnnews,신문
프레시안,pressian,인터넷
한겨레,hani,신문
한국경제TV,wowtv,TV
한국경제,hankyung,신문
한국대학신문,unn,인터넷
한국일보,hankookilbo,신문
헤럴드경제,heraldcorp,인터넷
환경뉴스,greenpostkorea,인터넷
KBS,kbs,TV
KNN,knn,TV
MBC,mbc,TV
SBS,sbs,TV
OBS,obsnews,TV
YTN,ytn,TV
ZDNET,zdnet,인터넷